route_mkt,route_short_name,cluster,branch,vehicle_type,line_uniqueness,od
12144,144,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/רמת הנגב
16145,145,הנגב,"ב""ש",בינעירוני,סדיר,שדרות/אשלים
20150,150,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ירוחם
23151,151,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ירוחם
16152,152,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ירוחם
18153,153,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/מרחב עם
12158,158,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/רמת הנגב
14160,160,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/מצפה רמון
17163,163,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/רמת הנגב
14170,170,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/רמת הנגב
12262,262,הנגב,"ב""ש",בינעירוני נגיש,סדיר,באר שבע/חורה
18322,322,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/נתיבות
15342,342,הנגב,"ב""ש",בינעירוני,סדיר,שדרות/באר שבע
11343,343,הנגב,"ב""ש",בינעירוני,סדיר,שדרות/באר שבע
10345,345,הנגב,"ב""ש",בינעירוני,סדיר,תל אביב יפו/קרית מלאכי
21347,347,הנגב,"ב""ש",בינעירוני,סדיר,אשדוד/שדרות
12348,348,הנגב,"ב""ש",בינעירוני,סדיר,אשדוד/באר שבע
10352,352,הנגב,"ב""ש",בינעירוני,סדיר,אשדוד/דימונה
10353,353,הנגב,"ב""ש",בינעירוני,סדיר,תל אביב יפו/באר שבע
10357,357,הנגב,"ב""ש",בינעירוני,סדיר,מודיעין עילית/דימונה
10358,358,הנגב,"ב""ש",בינעירוני,סדיר,בני ברק/דימונה
10359,359,הנגב,"ב""ש",בינעירוני,סדיר,נתיבות/דימונה
11367,367,הנגב,"ב""ש",בינעירוני,סדיר,ראשון לציון/באר שבע
10368,368,הנגב,"ב""ש",בינעירוני,סדיר,אשדוד/באר שבע
10369,369,הנגב,"ב""ש",בינעירוני,סדיר,תל אביב יפו/באר שבע
11370,370,הנגב,"ב""ש",בינעירוני,סדיר,תל אביב יפו/באר שבע
13371,371,הנגב,"ב""ש",בינעירוני,סדיר,ראשון לציון/באר שבע
10373,373,הנגב,"ב""ש",בינעירוני,סדיר,רחובות/אופקים
10375,375,הנגב,"ב""ש",בינעירוני,סדיר,תל אביב יפו/קרית גת
10377,377,הנגב,"ב""ש",בינעירוני,סדיר,ראשון לציון/באר שבע
10378,378,הנגב,"ב""ש",בינעירוני,סדיר,תל אביב יפו/אופקים
11380,380,הנגב,"ב""ש",בינעירוני,סדיר,תל אביב יפו/באר שבע
12386,386,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ערד
12387,387,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ערד
10388,388,הנגב,"ב""ש",בינעירוני,סדיר,באר שבע/ערד
