cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative
בקעת אונו אלעד,15,974,10974,1,0
בקעת אונו אלעד,15,280,11280,2,0
בקעת אונו אלעד,15,281,12281,1,1
בקעת אונו אלעד,15,945,12945,1,0
בקעת אונו אלעד,15,597,14597,1,0
בקעת אונו אלעד,15,380,19380,1,0
בקעת אונו אלעד,15,380,19380,2,0
בקעת אונו אלעד,15,58,20058,2,0
בקעת אונו אלעד,15,5,69005,2,1
בקעת אונו אלעד,15,285,16285,1,0
בקעת אונו אלעד,15,277,10277,1,1
בקעת אונו אלעד,15,277,10277,2,1
בקעת אונו אלעד,15,595,10595,1,0
בקעת אונו אלעד,15,377,11377,2,1
בקעת אונו אלעד,15,599,11599,2,0
בקעת אונו אלעד,15,179,11179,1,0
שרון,15,249,11249,2,#
שרון,15,29,19029,1,#
שרון,15,10,26010,1,#
שרון,15,34,35034,1,#
שרון,15,9,64009,2,#
שרון,15,4,42004,3,2
שרון,15,259,10259,2,#
בקעת אונו אלעד,15,69,15069,2,0
בקעת אונו אלעד,15,78,17078,1,0
בקעת אונו אלעד,15,76,23076,1,0
בקעת אונו אלעד,15,15,34015,2,0
בקעת אונו אלעד,15,8,37008,1,0
בקעת אונו אלעד,15,3,92003,1,0
בקעת אונו אלעד,15,256,14256,2,0
בקעת אונו אלעד,15,59,21059,2,0
שרון,15,259,10259,1,#
הנגב,15,570,11570,2,#
הנגב,15,67,16067,2,#
הנגב,15,262,12262,1,#
הנגב,15,457,14457,1,#
הנגב,15,150,20150,1,#
הנגב,15,47,23047,2,#
הנגב,15,11,44011,1,#
בקעת אונו אלעד,15,477,12477,1,0
בקעת אונו אלעד,15,477,12477,2,0
בקעת אונו אלעד,15,5,69005,1,0
בקעת אונו אלעד,15,377,11377,1,0
בקעת אונו אלעד,15,283,11283,2,0
בקעת אונו אלעד,15,85,37085,1,4
בקעת אונו אלעד,15,179,11179,2,0
שרון,15,228,10228,2,#
שרון חולון מרחבי,15,553,10553,1,#
שרון חולון מרחבי,15,1,27001,2,#
שרון חולון מרחבי,15,12,23012,2,1
שרון חולון מרחבי,15,178,12178,1,#
שרון חולון מרחבי,15,178,12178,2,#
בקעת אונו אלעד,15,28,40028,2,0
בקעת אונו אלעד,15,168,11168,2,1
בקעת אונו אלעד,15,78,17078,2,4
הנגב,15,370,11370,2,#
הנגב,15,400,22400,2,1
הנגב,15,59,16059,1,#
הנגב,15,581,11581,2,#
הנגב,15,24,19024,2,1
הנגב,15,345,10345,2,#
הנגב,15,5,83005,1,1
הנגב,15,65,18065,1,#
שרון,15,230,11230,2,#
שרון,15,231,11231,1,#
שרון,15,48,20048,2,#
שרון,15,19,21019,2,#
שרון,15,17,24017,2,#
שרון,15,5,33005,1,#
שרון,15,31,33031,2,#
שרון,15,3,43003,3,#
בקעת אונו אלעד,15,77,33077,2,0
בקעת אונו אלעד,15,283,11283,1,0
בקעת אונו אלעד,15,577,11577,2,0
בקעת אונו אלעד,15,444,14444,2,0
בקעת אונו אלעד,15,285,16285,2,0
בקעת אונו אלעד,15,251,11251,1,1
בקעת אונו אלעד,15,283,11283,2,1
בקעת אונו אלעד,15,577,11577,1,1
הנגב,15,370,11370,1,#
הנגב,15,121,19121,2,#
הנגב,15,369,10369,2,#
הנגב,15,369,10369,2,3
הנגב,15,26,20026,2,#
הנגב,15,687,10687,1,#
הנגב,15,689,10689,1,#
הנגב,15,689,10689,2,#
בקעת אונו אלעד,15,945,12945,2,0
בקעת אונו אלעד,15,445,13445,2,0
בקעת אונו אלעד,15,174,15174,1,0
בקעת אונו אלעד,15,174,15174,2,0
בקעת אונו אלעד,15,4,24004,1,0
בקעת אונו אלעד,15,5,69005,2,0
בקעת אונו אלעד,15,577,11577,1,0
בקעת אונו אלעד,15,385,16385,2,0
הנגב,15,371,13371,1,#
הנגב,15,342,15342,1,#
שרון,15,1,57001,1,#
שרון,15,1,57001,2,#
שרון,15,1,60001,2,1
שרון,15,13,40013,2,#
שרון,15,31,33031,1,#
שרון,15,3,42003,1,#
שרון,15,11,35011,2,#
שרון,15,14,52014,1,1
בקעת אונו אלעד,15,280,11280,1,7
בקעת אונו אלעד,15,446,12446,2,0
בקעת אונו אלעד,15,279,19279,1,0
שרון,15,249,11249,1,#
שרון,15,9,50009,1,#
שרון,15,112,16112,2,#
שרון,15,42,26042,1,#
שרון,15,1,60001,3,2
בקעת אונו אלעד,15,251,11251,2,1
בקעת אונו אלעד,15,280,11280,1,0
בקעת אונו אלעד,15,280,11280,2,7
בקעת אונו אלעד,15,283,11283,1,1
בקעת אונו אלעד,15,379,11379,1,0
בקעת אונו אלעד,15,445,13445,1,0
בקעת אונו אלעד,15,277,10277,2,0
בקעת אונו אלעד,15,379,11379,2,0
בקעת אונו אלעד,15,1,70001,1,1
בקעת אונו אלעד,15,1,70001,2,0
בקעת אונו אלעד,15,18,23018,2,0
בקעת אונו אלעד,15,115,16115,1,0
בקעת אונו אלעד,15,59,21059,1,0
בקעת אונו אלעד,15,55,28055,1,3
בקעת אונו אלעד,15,56,23056,1,0
בקעת אונו אלעד,15,55,28055,2,6
שרון,15,14,52014,2,1
שרון,15,149,12149,2,#
שרון,15,67,20067,1,#
שרון,15,18,25018,2,#
הנגב,15,357,10357,2,#
הנגב,15,386,12386,1,#
הנגב,15,65,18065,2,1
הנגב,15,322,18322,1,#
שרון,15,47,19047,2,#
שרון,15,19,21019,1,#
שרון,15,5,77005,1,#
שרון,15,27,18027,2,#
שרון,15,34,35034,2,#
שרון,15,13,40013,1,#
שרון,15,17,45017,2,#
שרון,15,15,69015,1,#
שרון,15,30,33030,2,#
שרון,15,1,56001,3,#
שרון,15,21,27021,2,#
שרון,15,347,10347,2,#
שרון,15,149,12149,2,1
שרון,15,20,22020,3,#
שרון,15,18,25018,1,#
שרון,15,139,15139,2,#
שרון חולון מרחבי,15,601,10601,2,#
שרון חולון מרחבי,15,610,10610,1,#
שרון חולון מרחבי,15,614,10614,2,#
שרון חולון מרחבי,15,145,12145,2,1
שרון חולון מרחבי,15,576,10576,2,#
שרון חולון מרחבי,15,140,12140,2,#
שרון חולון מרחבי,15,35,36035,1,#
בקעת אונו אלעד,15,11,71011,1,0
שרון,15,33,31033,1,#
שרון,15,9,64009,1,#
שרון,15,148,17148,1,#
שרון,15,247,12247,2,#
שרון,15,139,15139,1,#
הנגב,15,669,11669,2,#
הנגב,15,377,10377,1,#
הנגב,15,126,13126,1,1
הנגב,15,120,12120,1,#
הנגב,15,469,12469,2,#
הנגב,15,137,15137,1,#
הנגב,15,37,17037,3,3
הנגב,15,28,22028,1,#
הנגב,15,150,20150,2,#
הנגב,15,359,10359,2,1
הנגב,15,459,12459,2,3
בקעת אונו אלעד,15,18,23018,1,0
בקעת אונו אלעד,15,10,42010,3,0
בקעת אונו אלעד,15,68,14068,2,0
בקעת אונו אלעד,15,56,23056,2,0
בקעת אונו אלעד,15,55,28055,2,3
בקעת אונו אלעד,15,251,11251,1,0
בקעת אונו אלעד,15,453,11453,1,0
בקעת אונו אלעד,15,278,10278,2,0
בקעת אונו אלעד,15,278,10278,1,0
בקעת אונו אלעד,15,597,14597,2,0
בקעת אונו אלעד,15,173,15173,1,0
בקעת אונו אלעד,15,453,11453,2,0
בקעת אונו אלעד,15,385,16385,1,0
בקעת אונו אלעד,15,85,37085,2,4
בקעת אונו אלעד,15,176,11176,1,0
בקעת אונו אלעד,15,276,10276,2,0
הנגב,15,2,48002,3,#
הנגב,15,345,10345,1,#
הנגב,15,388,10388,1,#
הנגב,15,400,22400,2,#
הנגב,15,55,24055,1,#
הנגב,15,80,39080,2,3
הנגב,15,74,31074,1,#
הנגב,15,74,31074,2,#
בקעת אונו אלעד,15,270,12270,1,0
בקעת אונו אלעד,15,555,11555,2,0
בקעת אונו אלעד,15,139,13139,1,0
בקעת אונו אלעד,15,168,11168,2,0
בקעת אונו אלעד,15,76,23076,2,0
בקעת אונו אלעד,15,137,10137,2,0
בקעת אונו אלעד,15,236,10236,2,0
בקעת אונו אלעד,15,56,23056,1,3
הנגב,15,142,19142,1,1
הנגב,15,142,19142,2,#
הנגב,15,140,20140,2,2
הנגב,15,377,10377,2,#
הנגב,15,126,13126,2,1
הנגב,15,64,22064,2,#
הנגב,15,140,20140,2,#
הנגב,15,387,12387,2,#
