trip_id,source_trip_id,service_day,catalog_number,sign,direction,alternative,line_id,origin_stop_id,destination_stop_id,day_offset,departure_min,arrival_min,duration_min,vehicle_type_ids,distance_km,existing_flag,custom_json,daily_passengers,weekly_passengers,avg_commuters_per_ride_weekly,low_demand_flag
124,124,unknown,11179,179,2,0,,33599,38586,0,360,413,53,,23.289,,,,,,True
125,125,unknown,12180,180,1,0,,35552,20164,0,360,429,69,,21.351,,,,,,True
126,126,unknown,19205,205,1,0,,31574,26807,0,360,421,61,,21.244,,,,,,True
127,127,unknown,19205,205,2,0,,26806,31574,0,360,433,73,,20.788,,,,,,True
128,128,unknown,10236,236,2,0,,31313,26956,0,360,421,61,urban,16.302,,,,,,True
129,129,unknown,14256,256,1,0,,35475,25937,0,360,401,41,urban,16.116,,,,,,True
130,130,unknown,10277,277,1,0,,35628,2000,0,360,465,105,,60.063,,,,,,True
131,131,unknown,19279,279,1,0,,35629,36583,0,360,435,75,,23.87,,,,,,True
132,132,unknown,19279,279,2,0,,36583,38586,0,360,424,64,,23.212,,,,,,True
133,133,unknown,11280,280,1,0,,35552,20164,0,360,435,75,,23.308,,,,,,True
134,134,unknown,12281,281,1,0,,35628,60817,0,360,430,70,,36.492,,,,,,True
135,135,unknown,12281,281,2,0,,61417,30883,0,360,435,75,,40.244,,,,,,True
136,136,unknown,11379,379,1,0,,35547,27997,0,360,446,86,,26.52,,,,,,True
137,137,unknown,16385,385,2,0,,31995,37679,0,360,425,65,,23.388,,,,,,True
138,138,unknown,11436,436,1,0,,20163,31557,0,360,445,85,urban,26.237,,,,,,True
139,139,unknown,11436,436,2,0,,38184,20164,0,360,420,60,urban,24.848,,,,,,True
140,140,unknown,14444,444,1,0,,37015,35275,0,360,440,80,,39.549,,,,,,True
141,141,unknown,14444,444,2,0,,37528,37015,0,360,454,94,,40.627,,,,,,True
142,142,unknown,42010,10,3,0,,37538,38924,0,390,400,10,urban,4.0,,,,,,True
143,143,unknown,70001,1,1,0,,31313,33551,0,420,488,68,urban,15.21,,,,,,True
144,144,unknown,70001,1,2,0,,33550,35315,0,420,498,78,urban,14.884,,,,,,True
145,145,unknown,58002,2,3,0,,31738,31738,0,420,460,40,urban,10.415,,,,,,True
146,146,unknown,92003,3,1,0,,31336,32742,0,420,470,50,minibus,15.095,,,,,,True
147,147,unknown,92003,3,2,0,,31377,31736,0,420,460,40,minibus,15.13,,,,,,True
148,148,unknown,24004,4,1,0,,35629,30883,0,420,435,15,,5.001,,,,,,True
149,149,unknown,24004,4,2,0,,35628,38586,0,420,435,15,,5.075,,,,,,True
150,150,unknown,69005,5,1,0,,35629,30883,0,420,459,39,,8.079,,,,,,True
151,151,unknown,69005,5,2,0,,35628,38586,0,420,450,30,,8.724,,,,,,True
152,152,unknown,47006,6,1,0,,35629,33559,0,420,446,26,,7.56,,,,,,True
153,153,unknown,47006,6,2,0,,33559,38586,0,420,450,30,,8.583,,,,,,True
154,154,unknown,22007,7,1,0,,26806,31491,0,420,524,104,,16.573,,,,,,True
155,155,unknown,22007,7,2,0,,37538,26807,0,420,517,97,,18.29,,,,,,True
156,156,unknown,37008,8,1,0,,31345,32742,0,420,500,80,urban,19.271,,,,,,True
157,157,unknown,37008,8,2,0,,31377,34063,0,420,494,74,urban,18.924,,,,,,True
158,158,unknown,42010,10,3,0,,37538,38924,0,420,433,13,urban,4.0,,,,,,True
159,159,unknown,34015,15,1,0,,35315,31470,0,420,475,55,minibus,16.789,,,,,,True
160,160,unknown,34015,15,2,0,,31470,35335,0,420,480,60,minibus,16.538,,,,,,True
161,161,unknown,23018,18,1,0,,26945,35335,0,420,493,73,urban,17.749,,,,,,True
162,162,unknown,23018,18,2,0,,35315,26945,0,420,493,73,urban,17.291,,,,,,True
163,163,unknown,40028,28,1,0,,20789,33551,0,420,477,57,urban,16.201,,,,,,True
164,164,unknown,40028,28,2,0,,33550,20788,0,420,496,76,urban,17.273,,,,,,True
165,165,unknown,20036,36,1,0,,20277,35315,0,420,493,73,,17.54,,,,,,True
166,166,unknown,20036,36,2,0,,31313,25867,0,420,508,88,,17.287,,,,,,True
167,167,unknown,21037,37,1,0,,20001,31574,0,420,479,59,urban,18.78,,,,,,True
168,168,unknown,21037,37,2,0,,31581,27997,0,420,496,76,urban,19.037,,,,,,True
169,169,unknown,28055,55,1,0,,20277,33551,0,420,522,102,,19.716,,,,,,True
170,170,unknown,28055,55,2,0,,33550,25867,0,420,527,107,,19.063,,,,,,True
171,171,unknown,23056,56,1,0,,20277,31574,0,420,506,86,,22.068,,,,,,True
172,172,unknown,23056,56,2,0,,31052,25867,0,420,505,85,,21.135,,,,,,True
173,173,unknown,21059,59,1,0,,20001,35341,0,420,480,60,urban,18.289,,,,,,True
174,174,unknown,21059,59,2,0,,31313,27997,0,420,506,86,urban,18.79,,,,,,True
175,175,unknown,14068,68,1,0,,20277,33551,0,420,495,75,,20.409,,,,,,True
176,176,unknown,14068,68,2,0,,33550,25867,0,420,501,81,,20.664,,,,,,True
177,177,unknown,15069,69,1,0,,20001,31738,0,420,476,56,urban,14.471,,,,,,True
178,178,unknown,15069,69,2,0,,38160,27997,0,420,480,60,urban,13.999,,,,,,True
179,179,unknown,31075,75,3,0,,31481,35475,0,420,479,59,urban,17.458,,,,,,True
180,180,unknown,23076,76,1,0,,33599,35335,0,420,488,68,urban,15.827,,,,,,True
181,181,unknown,23076,76,2,0,,35315,33598,0,420,485,65,urban,15.606,,,,,,True
182,182,unknown,33077,77,1,0,,31313,31424,0,420,482,62,urban,15.935,,,,,,True
183,183,unknown,33077,77,2,0,,35377,35335,0,420,463,43,urban,15.376,,,,,,True
184,184,unknown,17078,78,1,0,,33599,35335,0,420,497,77,urban,20.953,,,,,,True
185,185,unknown,17078,78,2,0,,35315,33598,0,420,491,71,urban,20.373,,,,,,True
186,186,unknown,37085,85,1,0,,32298,32771,0,420,481,61,,23.868,,,,,,True
187,187,unknown,37085,85,2,0,,32771,31314,0,420,490,70,,23.699,,,,,,True
188,188,unknown,16115,115,1,0,,33550,25867,0,420,510,90,,17.741,,,,,,True
189,189,unknown,16115,115,2,0,,20277,33551,0,420,507,87,,17.818,,,,,,True
190,190,unknown,10137,137,1,0,,13907,14464,0,420,498,78,,9.406,,,,,,True
191,191,unknown,10137,137,2,0,,14464,15657,0,420,522,102,,9.929,,,,,,True
192,192,unknown,10138,138,1,0,,31344,39943,0,420,491,71,urban,23.767,,,,,,True
193,193,unknown,10138,138,2,0,,31685,31574,0,420,491,71,urban,25.049,,,,,,True
194,194,unknown,13139,139,1,0,,38160,39943,0,420,505,85,urban,26.142,,,,,,True
195,195,unknown,13139,139,2,0,,31685,31738,0,420,535,115,urban,26.47,,,,,,True
196,196,unknown,11168,168,1,0,,22935,33551,0,420,493,73,urban,16.738,,,,,,True
197,197,unknown,11168,168,2,0,,33550,25354,0,420,496,76,urban,15.975,,,,,,True
198,198,unknown,15174,174,1,0,,33567,35105,0,420,531,111,,45.263,,,,,,True
199,199,unknown,11179,179,1,0,,35629,33598,0,420,504,84,,23.581,,,,,,True
200,200,unknown,11179,179,2,0,,33599,38586,0,420,485,65,,23.289,,,,,,True
201,201,unknown,12180,180,1,0,,35552,20164,0,420,489,69,,21.351,,,,,,True
202,202,unknown,12180,180,2,0,,20163,39590,0,420,475,55,,23.197,,,,,,True
203,203,unknown,19205,205,1,0,,31574,26807,0,420,498,78,,21.244,,,,,,True
204,204,unknown,19205,205,2,0,,26806,31574,0,420,490,70,,20.788,,,,,,True
205,205,unknown,10236,236,1,0,,25358,35335,0,420,488,68,urban,16.679,,,,,,True
